iteration	log_density	v	w	x	y	z
0	-28.680216242741228	27.0289336205633	26.24555137226509	24.66909793923426	25.58364646020901	25.54852252881549
100	-3.1057767068468336	24.881099359140478	24.887549777870504	24.775944309475822	24.240904639841272	25.287346946523453
200	-3.0285277110043554	25.356846793893144	25.370190199423426	25.26624112720781	24.38087461152677	25.00547309330916
300	-2.076443755100105	25.4818856542062	25.059008660443997	25.4733263047285	25.066674809024555	24.792979184105413
400	-3.2529847277652943	24.561090628673437	25.036654047354652	24.40158810007461	25.45488334477492	25.09741498645819
500	-1.7291414194171875	25.49292680900346	25.09313180268228	25.2202586811144	24.645666516008866	25.06435815294138
600	-1.9508318531793805	25.178820876503067	24.91243544072722	25.201919505791803	25.61719929440422	25.133311946683598
700	-0.7914454445903862	25.178820876503067	24.661614774454566	24.88798346497781	24.778487734937418	24.884307691216637
800	-1.8412216167228572	25.473020965512866	24.928152074018705	25.28598168922359	24.623107092212354	24.955051031638195
900	-1.2724924580855714	25.15628221173057	24.58855607781054	25.094042639891885	25.35470634175418	24.996827734615827
1000	-1.9030187686909295	24.654257683989	25.415929704484967	25.363119157045553	24.982079390729368	24.790749144840987
1100	-2.2242621921272994	25.555567989316977	24.91386197684714	25.244516472306117	25.346749925765803	24.790749144840987
1200	-0.9398307162403788	24.698031190835778	24.768143860673472	25.244516472306117	25.024810622590948	24.778392765729123
1300	-0.8899980550986676	24.91418265184971	25.013474491751136	24.736629695835703	24.85044222769573	24.62038898683895
1400	-1.496845275181368	25.518626463513275	25.013474491751136	25.08129091093421	25.26091861176733	25.18545990914934
1500	-1.0885544701307852	24.868664421620114	25.28440829914895	24.84205805288452	24.708650167504317	25.282025343390828
1600	-2.095850343771801	24.849736018607818	25.39783898185921	24.71568813313611	25.38429186709134	25.31934420892633
1700	-0.6027930345351643	25.07874271505039	25.39783898185921	25.0230343902471	24.891313678311725	25.05233771715891
1800	-1.3699730777389285	24.666159703692383	24.98178351872948	25.28393131838092	24.922211530340086	24.610649209836485
1900	-2.018053221078166	25.221116786361257	25.16959220239293	24.483490796559465	24.922211530340086	25.37891175629171
2000	-5.869517717553695	24.318902097736043	25.798558101247647	24.78344329808604	24.875167785762425	24.568870333362504
2100	-4.049472313783981	25.75668300090136	24.62227370930309	25.28296311986661	25.26047344257544	25.286926261689906
2200	-0.6328774655593028	25.32996393345299	24.841100939129195	25.203948980712543	24.961916319325443	25.095255307870705
2300	-2.8650602435470915	25.63570885672058	24.64524923407152	24.692574268005174	25.1343259117807	25.199391488516593
2400	-1.14017925271887	24.859050079274986	25.124053008254393	25.453824571620448	24.86580525330122	25.199391488516593
2500	-4.305768516172628	25.555187497758084	24.499749374598384	25.106177443824077	24.686678417159605	24.421627855455043
2600	-1.2394496397532042	25.215554339811025	25.081838736070676	25.106177443824077	24.91627775519004	24.500406428612386
2700	-1.5933195021664228	25.215554339811025	24.919989013535275	24.562400629860484	24.849769650652437	25.364345991857736
2800	-0.07736998760007918	24.921653052094985	25.14761638569144	24.90385400295587	25.08927710987241	25.132871491267945
2900	-0.5078842603503148	25.00593009993198	25.14761638569144	25.113685431307747	25.08927710987241	25.340216732683032
3000	-0.36282934863285243	25.083523203149706	24.946768568604607	24.925697533796814	25.08927710987241	25.32083106744233
3100	-2.2562103207086293	25.035327711218596	25.21704633965179	25.258225798129036	25.373355334434507	24.459118366699602
3200	-0.8238441844233243	24.935969229603767	24.792910630127828	24.918501931329466	25.05392577219492	24.5850958979097
3300	-1.103762889880957	25.20834994134053	24.80208441175495	24.588724281860827	25.14354283099016	24.863790959592958
3400	-1.9855861957395575	24.85439234898719	24.634864623258135	25.48141775276027	24.843451889286463	24.72422766439002
3500	-0.8310514454728765	24.964558897852562	24.633351120872614	24.796782439597937	24.843451889286463	24.830321662658953
3600	-0.592689202196603	24.889030137685573	25.15494094793562	24.77607995326011	25.24912161225904	24.830321662658953
3700	-0.7468360892900792	24.889030137685573	24.867152544701316	25.128812044094	24.612140232374863	24.879261125109338
3800	-1.9005599207200228	25.36854531608978	24.443672368802048	24.927114326044293	24.947701169187063	24.879261125109338
3900	-4.2867672403816774	25.459365733703876	24.15885761646732	24.927114326044293	24.75547565043079	24.879261125109338
4000	-1.5594049988209782	24.569547406785166	24.8737981144642	25.228990391714994	24.665891816038744	25.16388414949587
4100	-2.447151430154118	24.569547406785166	24.956448645525906	25.0249422055388	24.379735987453437	25.129925031626385
4200	-0.6419059013664602	25.018639549551537	25.02438267488136	25.12393775361033	24.608982182788935	25.138032993701742
4300	-2.685321567462777	24.56863374125097	24.67347042205376	25.12393775361033	24.435469906955188	24.875141206964898
4400	-0.6629598169272728	24.75880487779424	25.057781602277593	25.169471863899318	24.67961804902868	24.99292219372354
